Orthogroup	apple_prot	fruticosa_prot	peach_prot	subA___prot	subA_prot	subB_prot	sweet_cherry_prot	Total
OG0000552	5	10	3	2	3	3	3	29
OG0000553	1	15	1	4	4	2	2	29
OG0000554	2	10	4	4	1	5	3	29
OG0000555	2	9	6	3	4	3	2	29
OG0000556	2	7	6	3	3	4	4	29
OG0000557	2	7	5	4	3	4	4	29
OG0000558	4	9	4	4	0	3	5	29
OG0000559	2	11	4	2	3	4	3	29
OG0000560	3	9	3	3	4	3	4	29
OG0000561	2	10	1	2	6	5	3	29
OG0000562	1	16	0	0	0	0	12	29
OG0000563	2	13	3	5	4	0	2	29
OG0000564	2	12	4	2	5	2	2	29
OG0000565	1	16	2	1	2	2	5	29
OG0000566	1	13	3	3	3	4	2	29
OG0000567	1	13	6	2	2	2	3	29
OG0000568	0	14	1	5	4	3	2	29
OG0000569	0	14	0	0	2	1	12	29
OG0000570	0	11	5	4	3	3	3	29
OG0000571	0	17	1	1	2	3	5	29
OG0000572	0	13	1	5	3	3	4	29
OG0000573	0	11	3	5	4	3	3	29
OG0000574	0	15	1	5	1	3	4	29
OG0000575	0	10	0	2	5	3	9	29
OG0000576	0	1	5	3	9	8	3	29
OG0000577	0	1	0	0	0	0	28	29
OG0000578	7	8	3	3	3	3	1	28
OG0000579	2	9	5	3	5	0	4	28
OG0000580	13	7	2	1	1	1	3	28
OG0000581	6	10	3	1	3	3	2	28
OG0000582	1	10	4	4	2	3	4	28
OG0000583	1	11	3	4	4	3	2	28
OG0000584	3	13	4	0	5	1	2	28
OG0000585	4	10	2	4	0	4	4	28
OG0000586	3	6	4	3	4	4	4	28
OG0000587	6	6	2	3	1	3	7	28
OG0000588	1	11	2	1	3	7	3	28
OG0000589	2	12	2	2	2	3	5	28
OG0000590	8	3	4	4	3	3	3	28
OG0000591	5	6	2	3	1	4	7	28
OG0000592	10	2	2	3	3	5	3	28
OG0000593	2	10	4	3	3	3	3	28
OG0000594	6	7	3	3	3	3	3	28
OG0000595	7	6	3	1	3	4	4	28
OG0000596	2	4	1	2	4	7	8	28
OG0000597	4	10	2	3	3	3	3	28
OG0000598	4	9	4	3	2	3	3	28
OG0000599	2	10	3	2	1	6	4	28
OG0000600	2	12	2	4	3	2	3	28
OG0000601	3	10	4	2	3	3	3	28
OG0000602	1	9	4	2	4	3	5	28
OG0000603	1	8	3	4	4	5	3	28
OG0000604	3	11	6	1	2	1	4	28
OG0000605	3	12	3	3	3	3	1	28
OG0000606	1	9	3	3	4	4	4	28
OG0000607	0	26	0	0	0	1	1	28
OG0000608	0	17	3	1	0	0	7	28
OG0000609	0	13	2	3	3	3	4	28
OG0000610	0	14	4	2	1	2	5	28
OG0000611	0	14	2	3	4	3	2	28
OG0000612	0	1	0	0	0	0	27	28
OG0000613	0	0	0	0	0	0	28	28
OG0000614	0	0	0	0	0	0	28	28
OG0000615	0	0	0	0	0	0	28	28
OG0000616	0	0	0	0	0	0	28	28
